Cipher,LUT,bit_slice,Permutation,Involution,Diff,DiffFreq,Diff1,CardD1,Lin,LinFreq,Lin1,CardL1,max_degree,min_degree,MaxDegreeFreq,MinDegreeFreq,Max_ProductDegrees,LS_number,"max_v (v, w)-linear","max_w (v, w)-linear",Optimal_Class,Cost (GE) TSMC65nm,Cost is Best ,inv_LUT,inv_bit_slice,inv_max_degree,inv_min_degree,inv_MaxDegreeFreq,inv_MinDegreeFreq,inv_Max_ProductDegrees,inv_LS_number,"inv_max_v (v, w)-linear","inv_max_w (v, w)-linear",inv_Optimal_Class
Optimal_S15,0001020d04070f06080e0c0b09030a05,5f48_86f8_6ae4_b86a,True,False,4,18,2,8,8,32,8,13,3,2,14,1,[3|3|3|4],3,"(3, 1)","(2, 3)",G15,0,-,0001020d040f0705080c0e0b0a030906,5f28_86f8_bc64_68ea,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G14
Num1_DL_22_3,000e09050f080a07030b060c04010d02,4a76_5c9a_87d2_639c,True,False,4,24,2,2,8,36,4,2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0,0,-,000d0f080c030a07050206090b0e0104,385e_a596_36e4_59a6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2
Num1_DL_13_1,000c09070f020601030b040e0a050d08,da16_6c5a_1b78_639c,True,False,4,24,2,1,8,36,4,3,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0,0,-,000705080a0d06030f020c09010e0b04,6d38_a566_63d2_59a6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2
Num1_DL_22_2,000b06090c05030e0d070804020a0f01,659a_4bb4_72c6_c36a,True,False,4,24,2,2,8,36,4,2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1,0,-,000f0c060b0502090a030d010408070e,a596_d42e_c35a_4eb2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1
Num1_DL_13_0,000c090706010f02030b040e0d080a05,7a46_9c5a_4bd8_936c,True,False,4,24,2,1,8,36,4,3,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0,0,-,000507080a0f04030d020e09010c0b06,6d38_a566_c6b4_59a6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2
Num1_DL_22_1,000b0e010a070d04060c090f05080302,2e56_1be4_c936_5c6a,True,False,4,24,2,2,8,36,4,2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1,0,-,00030f0e070c08050d0a04010906020b,936c_25bc_e21e_9996,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1
Num1_DL_13_3,000d040b070e0902060a030508010f0c,d26a_c936_47b8_6c5a,True,False,4,24,2,1,8,36,4,3,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2,0,-,000d070a020b08040c0609030f01050e,956a_d386_9a3c_7c26,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0
Num1_DL_04_0,000b0c050601090a030e0f080d040207,1ec6_b61c_c792_956a,True,False,4,24,0,0,8,36,4,4,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0,0,-,00050e080d03040f0b060701020c090a,e19c_26d6_97a4_4db2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2
Num1_DL_22_0,000d08020e0b07050f06030c0401090a,c936_1bd2_8778_65e2,True,False,4,24,2,2,8,36,4,2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2,0,-,000d030a0c070906020e0f050b010408,965a_4eb2_17ac_3c66,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0
Num1_DL_04_1,000c0d0a050b0e070f06020103080904,616e_83d6_17e8_59b4,True,False,4,24,0,0,8,36,4,4,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2,0,-,000b0a0c0f0409070d0e030501020608,835e_4bb8_6696_1dd2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0
Num1_DL_13_2,000b08050f0c03060e04070902010d0a,c936_47b8_95d2_6c5a,True,False,4,24,2,1,8,36,4,3,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2,0,-,000d0c060903070a020b0f01050e0804,6696_b44e_27e8_1e72,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0
mCrypton_S0,040f03080d0a0c000b05070e02060109,897a_2e53_3d26_c716,True,False,4,15,2,5,8,30,4,10,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3,0,-,070e0c0200090d0a030f050806040b01,4ae6_3647_538b_c761,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3
mCrypton_S1,010c070a060d05030f0b02000804090e,d32a_a176_879c_43e5,True,False,4,15,2,5,8,30,4,10,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3,0,-,0b000a070d0604020c0e030901050f08,cb15_6378_46ad_7c19,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3
mCrypton_S2,070e0c0200090d0a030f050806040b01,4ae6_3647_538b_c761,True,False,4,15,2,5,8,30,4,10,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3,0,-,040f03080d0a0c000b05070e02060109,897a_2e53_3d26_c716,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3
mCrypton_S3,0b000a070d0604020c0e030901050f08,cb15_6378_46ad_7c19,True,False,4,15,2,5,8,30,4,10,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3,0,-,010c070a060d05030f0b02000804090e,d32a_a176_879c_43e5,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3
